Column1,p.value,accuracy
46,0.46,0.68125
37,0.37,0.675
38,0.38,0.675
42,0.42,0.675
45,0.45,0.675
48,0.48,0.675
36,0.36,0.66875
41,0.41,0.66875
47,0.47,0.66875
39,0.39,0.6625
40,0.4,0.6625
43,0.43,0.6625
44,0.44,0.6625
35,0.35,0.65
33,0.33,0.64375
34,0.34,0.64375
49,0.49,0.64375
31,0.31,0.6375
32,0.32,0.6375
29,0.29,0.625
30,0.3,0.625
50,0.5,0.625
51,0.51,0.6125
28,0.28,0.6
52,0.52,0.6
53,0.53,0.59375
54,0.54,0.5875
27,0.27,0.575
55,0.55,0.56875
26,0.26,0.55625
56,0.56,0.55
25,0.25,0.525
57,0.57,0.51875
24,0.24,0.5125
23,0.23,0.50625
1,0.01,0.5
2,0.02,0.5
3,0.03,0.5
4,0.04,0.5
5,0.05,0.5
6,0.06,0.5
7,0.07,0.5
8,0.08,0.5
9,0.09,0.5
10,0.1,0.5
11,0.11,0.5
12,0.12,0.5
13,0.13,0.5
14,0.14,0.5
15,0.15,0.5
16,0.16,0.5
17,0.17,0.5
18,0.18,0.5
19,0.19,0.5
20,0.2,0.5
21,0.21,0.5
22,0.22,0.5
58,0.58,0.5
76,0.76,0.5
77,0.77,0.5
78,0.78,0.5
79,0.79,0.5
80,0.8,0.5
81,0.81,0.5
82,0.82,0.5
83,0.83,0.5
84,0.84,0.5
85,0.85,0.5
86,0.86,0.5
87,0.87,0.5
88,0.88,0.5
89,0.89,0.5
90,0.9,0.5
91,0.91,0.5
92,0.92,0.5
93,0.93,0.5
94,0.94,0.5
95,0.95,0.5
96,0.96,0.5
97,0.97,0.5
98,0.98,0.5
99,0.99,0.5
75,0.75,0.49375
74,0.74,0.4875
72,0.72,0.48125
73,0.73,0.48125
59,0.59,0.475
71,0.71,0.46875
60,0.6,0.4625
70,0.7,0.4625
61,0.61,0.45
62,0.62,0.44375
69,0.69,0.44375
63,0.63,0.425
68,0.68,0.425
64,0.64,0.41875
67,0.67,0.4125
65,0.65,0.4
66,0.66,0.4
